lat,lon
-4.8896,133.8185
52.2858,170.1985
36.8689,-98.1236
15.9995,120.0766
36.8676,-98.1224
19.5569,-65.2024
54.0989,-162.7295
36.928,-97.9988
36.5598333,-121.148
36.4867,3.0162
36.325,-97.5363
51.4229,179.9883
36.1558,-97.4848
36.3107,-96.7387
47.0502,142.018
-22.0104,-68.7497
-10.9051,165.9597
19.2882,-155.3782
36.56,-121.1521667
-56.8369,-150.4223
18.9237,-65.3097
41.8661,-119.6049
31.1241,141.934
53.9108,-165.1055
51.6194,-175.2524
